Award,Year,Movie,Winner
Editing,2002,Thirteen Conversations About One Thing,Stephen Mirrione
Editing,2003,Kill Bill: Volume 1,Sally Menke
Editing,2004,Eternal Sunshine of the Spotless Mind,Valdís Óskarsdóttir
Editing,2005,A History of Violence,Ronald Sanders
Editing,2006,United 93,"Clare Douglas, Richard Pearson, and Christopher Rouse"
Editing,2007,Atonement,Paul Tothill
Editing,2008,Slumdog Millionaire,Chris Dickens
Editing,2009,(500) Days of Summer,Alan Edward Bell
Editing,2010,Scott Pilgrim vs. the World,Jonathan Amos and Paul Machliss
Editing,2011,Beginners,Olivier Bugge Coutté
Editing,2012,Argo,William Goldenberg
Editing,2013,Captain Phillips,Christopher Rouse
Editing,2014,Edge of Tomorrow,"James Herbert, Laura Jennings"
Directors,1996,Fargo,Joel Coen
Directors,1997,L.A. Confidential,Curtis Hanson
Directors,1998,Gods and Monsters,Bill Condon
Directors,1999,American Beauty,Sam Mendes
Directors,2000,Almost Famous,Cameron Crowe
Directors,2001,Ghost World,Terry Zwigoff
Directors,2002,Far from Heaven,Todd Haynes
Directors,2003,Dirty Pretty Things,Stephen Frears
Directors,2004,Vera Drake,Mike Leigh
Directors,2005,King Kong,Peter Jackson
Directors,2006,Letters from Iwo Jima,Clint Eastwood
Directors,2007,No Country for Old Men,Joel and Ethan Coen
Directors,2008,Slumdog Millionaire,Danny Boyle
Directors,2009,Inglourious Basterds,Quentin Tarantino
Directors,2010,Winter's Bone,Debra Granik
Directors,2011,The Artist,Michel Hazanavicius
Directors,2012,Argo,Ben Affleck
Directors,2013,Her,Spike Jonze
Directors,2014,Nightcrawler,Dan Gilroy
Best Actor,1996,Hamlet,Kenneth Branagh
Best Actor,1997,As Good as It Gets,Jack Nicholson
Best Actor,1998,Gods and Monsters,Ian McKellen
Best Actor,1999,American Beauty,Kevin Spacey
Best Actor,2000,Gladiator,Russell Crowe
Best Actor,2001,Memento,Guy Pearce
Best Actor,2002,Gangs of New York,Daniel Day-Lewis
Best Actor,2003,Dirty Pretty Things,Chiwetel Ejiofor
Best Actor,2004,Eternal Sunshine of the Spotless Mind,Jim Carrey
Best Actor,2005,Capote,Philip Seymour Hoffman
Best Actor,2006,Riding Alone for Thousands of Miles (Qian li zou dan qi),Ken Takakura
Best Actor,2007,There Will Be Blood,Daniel Day-Lewis
Best Actor,2008,The Wrestler,Mickey Rourke
Best Actor,2009,A Single Man,Colin Firth
Best Actor,2010,Ondine,Colin Farrell
Best Actor,2011,Take Shelter,Michael Shannon
Best Actor,2012,Lincoln,Daniel Day-Lewis
Best Actor,2013,Inside Llewyn Davis,Oscar Isaac
Best Actor,2014,Nightcrawler,Jake Gyllenhaal
Best Actress,1996,Fargo,Frances McDormand
Best Actress,1997,Jackie Brown,Pam Grier
Best Actress,1998,Stepmom,Susan Sarandon
Best Actress,1999,American Beauty,Annette Bening
Best Actress,2000 (tie),You Can Count on Me,Laura Linney
Best Actress,2001,Ghost World,Thora Birch
Best Actress,2002,Far from Heaven,Julianne Moore
Best Actress,2003,21 Grams,Naomi Watts
Best Actress,2004,Vera Drake,Imelda Staunton
Best Actress,2005,The Upside of Anger,Joan Allen
Best Actress,2006,The Queen,Helen Mirren
Best Actress,2007,Away from Her,Julie Christie
Best Actress,2008,The Reader,Kate Winslet
Best Actress,2009,Trucker,Michelle Monaghan
Best Actress,2010,Winter's Bone,Jennifer Lawrence
Best Actress,2011,Another Earth,Brit Marling
Best Actress,2012,Take This Waltz,Michelle Williams
Best Actress,2013,Blue Jasmine,Cate Blanchett
Best Actress,2014,"Two Days, One Night",Marion Cotillard
Cinemtography,2000,Gladiator,John Mathieson
Cinemtography,2001,The Man Who Wasn't There,Roger Deakins
Cinemtography,2002,Road to Perdition,Conrad L. Hall
Cinemtography,2003,Girl with a Pearl Earring,Eduardo Serra
Cinemtography,2004,Hero (Ying xiong),Christopher Doyle
Cinemtography,2004,The Phantom of the Opera,John Mathieson
Cinemtography,2005,The New World,Emmanuel Lubezki
Cinemtography,2006,The Illusionist,Dick Pope
Cinemtography,2007,No Country for Old Men,Roger Deakins
Cinemtography,2008,Slumdog Millionaire,Anthony Dod Mantle
Cinemtography,2009,The Road,Javier Aguirresarobe
Cinemtography,2010,Inception,Wally Pfister
Cinemtography,2011,The Tree of Life,Emmanuel Lubezki
Cinemtography,2012,Life of Pi,Claudio Miranda
Cinemtography,2013,To the Wonder,Emmanuel Lubezki
Cinemtography,2014,Nightcrawler,Robert Elswit
